VAR,ID,Question,Answer
XF,ACC7,What is the difference between the averages from high and low emissions scenarios during the 2050-2079 period?,there is little to no difference
XI,EXP3,What information does the graph show?,changes in the amount of rain received during a heavy rainfall event
XI,EXP4,A graph can be used for a variety of purposes. The primary purpose of this graph is to,highlight heavy rainfall trends and patterns over time
XI,EMP4,The gray shaded area illustrates __________ .,a range of values based on model results over the historical period
XI,EMP5,The purple shaded area illustrates __________ .,There is no purple shading.
XI,EMP6,What is an emissions scenario?,a representation of the future based on how much carbon dioxide might be released into the atmosphere
XI,ACC4,The average annual total rainfall for the 2020-2049 period will be closest to __________ .,It is impossible to know based on the information in this graph.
XI,ACC5,The low emissions average for the 2050-2079 period will __________ .,increase compared to the 1990-2019 observation average (greater than or equal to a 5% change)
XI,ACC6,"Based on the full range of model results from the low emissions scenario, it is__________ that the amount of rain received in a heavy rainfall event will increase from1990-2019 to 2050-2079.",likely (66-100% probability)
XI,ACC7,What is the difference between the averages from high and low emissions scenarios during the 2050-2079 period?,there is little to no difference
XI,EXP1,What information does the graph show?,changes in the number of days per year with heavy rainfall events
XI,EXP2,A graph can be used for a variety of purposes. The primary purpose of this graph is to,highlight heavy rainfall trends and patterns over time
XI,EMP1,"What do the gray, blue, and red shaded areas represent?",the difference between the 25th to 75th percentiles of the model results
XI,EMP2,The red shaded area illustrates __________ .,a range of values based on model results of a high emissions scenario
XI,EMP3,What is the hindcast?,model results over the historical period
XI,ACC1,The high emissions average for the 2050-2079 period will __________ .,increase compared to the 1990-2019 observation average (greater than or equal to a 5% change)
XI,ACC2,"Based on the full range of model results from the high emissions scenario, it is__________ that the number of heavy rainfall days will increase from 1990-2019 to 2050-2079.",likely (66-100% probability)
XI,ACC3,What is the difference between the averages from high and low emissions scenariosduring the 2050-2079 period?,"one is larger, but less than double the other"
