AI Analysis of Scenario Justification (ChatGPT),What influences participant decisions?,Code,Description,Examples
Perception and Personal Judgment,feelings,feels right,"participants base their answer on a guess, feeling, or instinct that the solution is the right option.","""It's my best guess""; ""no reason""; ""instinct""; ""i just did""; ""Because it seemed right"""
Perception and Personal Judgment,feelings,I don't believe it,"participants choose todo nothing because they do not believe the scenario, the information in the graph, or the damages are realistic.","""Cuz I don't think it'll fly in that scenario""; ""I don't believe it"""
Perception and Personal Judgment,feelings,hypothetical,participants focus on the scenario being hypothetical despite the scenarios being based on real facts and a real location.,"""These graphs are hypothetical, there is always the chance it will flood the house.""; ""Those are hypocritical""; "
Perception and Personal Judgment,feelings,based on prior experience,participants use experiences from their personal life to inform the decision.,"""We have flooding where I live so it’s worth it to take the most precaution or have your house destroyed.""; ""Because we have a paved driveway and it saves on erosion""; ""I was in the paving business. I know a little""; ""From experience I know a gravel lane or drive does not always wash out."""
Perception and Personal Judgment,climate belief,global warming is a hoax,participants indicate that climate change is not real.,"""I don't believe in global warming..it is a scam""; ""Global warming is a hoax"""
Perception and Personal Judgment,other considerations,advantages it offers,participants mention that the selected solution provides some added advantage beyond flood risk. This is separate from changes property value (see increases property value).,"""It helps the economy""; ""Everyone benefits from having  insurance""; ""Cost effective measure and as i get older more other emergencies could arise.I would need access to my home at all tomes""; ""So it doesn't get as dirty"""
Perception and Personal Judgment,other considerations,environmental impact,participants consider environmental impacts in their decision.,"""I think its the least that can be done with little environmental effects.""; ""I'm trying to save money plus trying to do what's right for the environment.""; ""It seems like the lesser of 2 evils, and I mean come on, Paving your road isn't the best""; "
Perception and Personal Judgment,other considerations,erosion control,participants indicate wanting to protect against erosion.,"""erosion is very likely""; ""To control erosion for future damages""; ""To stop land erosion.""; ""to protect from erotion"""
Perception and Personal Judgment,hassle of dealing with flooding,likely to move,participants mention that they would not buy the property in the scenario or would sell it to avoid dealing with flooding.,"""Because I wouldn't live in a place that was prone to flooding.""; ""I wouldn't purchase a home in a flood prone area.""; ""Sell the house in time""; ""I would not on own a house that floods every time it rains, 1.9 inches I would sell it"""
Perception and Personal Judgment,other considerations,risks associated with insurance,participants indicate that there are risks to buying insurance.,"""Policies changes""; ""because of the homeowners insurance risks"""
Protection and Preparedness,protection and prevention,best level of protection,participants mention they prefer the best or highest level of protection.,"""Would rather have more protection than I need than not enough""; ""Cobers the most rainfall events""; ""It would be the best in overall protection""; ""This is the best protection."""
Protection and Preparedness,protection and prevention,to be prepared and protect,participants mention that it is always good to plan and be prepared so that can be better protected in the event an event occurs. That it is too risky to not plan for protection.,"""Insurance is risk protection. No need to consult a chart to make a purchase decision.""; ""One always purchases insurance for protection, home, flood, home warranty, car, and if you rent renters insurance. It is beneficial in the long run, life is unpredictable.""; ""Better to have the insurance and not need it than to not have it and need it."""
Protection and Preparedness,protection and prevention,protection of home and family,"participants indicate their answer is based on wanting to protect their property, possessions, themselves, or their family.","""To protect my property that might be damage from the water""; ""To save my possessions""; ""To protect the house from any future damage""; ""Because I'm concerned about my safety""; ""For the safety of my family""; "
Protection and Preparedness,protection and prevention,safe than sorry,particpants mention it is a safer option or helps them feel safer.,"""Better to be safe than sorry""; ""Because I know it would have me feel at ease knowing that I am convered""; ""Peace of mind"""
Protection and Preparedness,protection and prevention,watch and decide later,participants mention they will start with a lower cost solution to see if the issue is solved before implementing a big fix.,"""To study the case before making solution to the problem""; ""Lit seemed the most logical. But as an owner I would need to see steepness and at least one flood. You could do pavers for a lot less than 7000""; ""I would try this first then if that didn't work try something else""; ""it's the most inexpensive and I'd like to see if this remedies the problem before I need to make it to the next financial level"""
Protection and Preparedness,protection and prevention,not needed,participants indicate that implementing a solution is not needed.,"""Don't need""; ""No because that a waste""; ""not likely to need it""; ""The flood wasn't my fault"""
Protection and Preparedness,other considerations,long lasting,participants mention that the solution lasts a long time or is a permanent solution.,"""Longevity""; ""More money up front but better in the long run""; ""best option that will last the longest""; ""Makes more sense to do the 30 year plan""; ""Pavement sounds more permanent of a solution.""; ""If I pave my problem is permanently solved."""
Protection and Preparedness,other considerations,other actions can be done,participants indicate that other solutions or actions can be applied to deal with the problem. ,"""My mom would most likely to prevent spread to the house and to avoid damp situations""; ""put the cost of ins. aside"""
No Reason,unable to provide a reason,?,the answer provided was not clear enough to determine what they meant.,
No Reason,unable to provide a reason,no comment,participants did not provide a reason for their answer.,"""None""; ""No comment""; ""NA""; """""
No Reason,unable to provide a reason,I don't know,"participants answer the question with ""I don't know"".","""I don't know""; ""Idk"""
