,name,CHAL1_ans,CHAL1_txt,Primary cycle code,CHAL1_con,CHAL1_lik,CHAL2_ans,CHAL2_txt,Primary cycle code,CHAL2_con,CHAL2_lik
92,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),We dont get much flooding where i live. ,confusion about personal home,extremely confident,likely,yes,It look like the rain will increase ,increase in rainfall,extremely confident,unlikely
97,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,Don't know ,I don't know,very confident,very likely,no,Don't want my home to be flooded ,avoid damage and its costs,very confident,very likely
100,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Because we have a paved driveway and it saves on erosion,based on prior experience,extremely confident,very likely,yes,For peace of mind,safe than sorry,very confident,likely
103,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,The weather. What the severity of the rain will be ,weather is unpredictable,very confident,likely,yes,It seemed accurate,logical choice,very confident,very likely
105,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Because the graph  shows only 80 years,more information wanted,extremely confident,virtually certain,yes,Because you you need insurance to cover costs,avoid damage and its costs,extremely confident,virtually certain
108,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),"If I have the money, let's get it over with and done.",fix and forget,very confident,very likely,yes,Be prepared.,to be prepared and protect,moderately confident,very likely
114,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Yes it did,?,extremely confident,very likely,yes,going to flood,risk of flood(s),extremely confident,very likely
135,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,I chose that one because it makes more sense to do.  It costs less also.,cost effective,moderately confident,about as likely as not,yes,"Because it'll be safer to do. You will be covered up to $250,000.",safe than sorry,very confident,likely
139,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),it seems like the most economical,best economic choice,very confident,very likely,yes,it would save me money,saves money,very confident,very likely
142,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),it seems the best ,logical choice,moderately confident,virtually certain,yes,it will me for a flood,risk of flood(s),extremely confident,likely
148,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,Because less money,cost effective,very confident,very likely,yes,Its worth the investment because its only 480 a yr,cost effective,extremely confident,likely
150,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,The first two options are more likely to end up needing to be replaced since the high emissions range goes up.,cost benefit analysis,very confident,likely,yes,"Looking at the changes in the rainfall intensity I would be much safer and I would receive up to $250,000 to cover building damages.",cost benefit analysis,extremely confident,virtually certain
152,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,The more rain the more erosion.,increase in rainfall,extremely confident,virtually certain,yes,Because it is at risk,risk of flood(s),extremely confident,virtually certain
157,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Pave the driveway protection against the rain ,to be prepared and protect,extremely confident,virtually certain,yes,Protection ,to be prepared and protect,extremely confident,virtually certain
159,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),I chose this one because in the graph it shows over 30 years of rainfall,based on emissions scenario(s)/ projections,very confident,likely,yes,Because if my house gets destroyed the flood insurance would cover the cost ,avoid damage and its costs,moderately confident,about as likely as not
171,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,according to the graph we are looking at 2 days of heavy rainfall so I am doubling on the safety for this rainfall projection.,freeboard added,extremely confident,very unlikely,yes,it shows that the rainfall is increasing and more chances were this will happen again. ,increase in risk of flood(s),extremely confident,virtually certain
173,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),"Your maintenance fee over 30 years for 1) has a high likelihood of costing the most. 2) will cost $30,500 over 30 years. 3) will cost $61,000 over 30 years.",cost effective,moderately confident,likely,yes,Because you are likely to experience quite a bit of damage.,avoid damage and its costs,moderately confident,very likely
176,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,Because it Shows More About The Chart ,based on the graph,extremely confident,very likely,yes,Because You Gone Need The insurance For Your Home Just incase ,safe than sorry,extremely confident,very likely
178,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),"I rather pay a high price now and know that I won't have to deal with the problem decades from now. And, by then, I'd move out anyway and it would be someone else's problem.",fix and forget,extremely confident,very likely,yes,"I rather be safe than sorry, I'd prepare for any changes no matter how likely or not the disaster scenario is.",safe than sorry,extremely confident,very likely
187,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Version is definitely want to turn indicates,?,very confident,virtually certain,yes,Because of the emissions in the rainfall statistics,based on emissions scenario(s)/ projections,extremely confident,virtually certain
196,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,It seems like a good choice,logical choice,very confident,likely,yes,It seems like a good choice ,logical choice,very confident,about as likely as not
200,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,To study the case before making solution to the problem,watch and decide later,very confident,very likely,yes,Because to help me to save more life's and property,protection of home and family,very confident,very likely
202,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,By looking at the graph ,based on the graph,very confident,likely,yes,Flooding zone ,risk of flood(s),very confident,very likely
203,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Anything else would mean to just realest the process,?,moderately confident,very likely,yes,Rain is inevitable ,amount of rain,moderately confident,very likely
206,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),It offers the most protection and doesn't require an annual fee.,cost benefit analysis,extremely confident,about as likely as not,yes,It makes sense base on the graph.,based on the graph,very confident,likely
207,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,The way the graph is,based on the graph,moderately confident,unlikely,yes,just in case,to be prepared and protect,moderately confident,about as likely as not
214,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,looks good to me,feels right,moderately confident,likely,no,instinct,feels right,moderately confident,about as likely as not
217,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,really dont get more than 4 heavy(flooding),based on 4 events,moderately confident,likely,no,not in flood plane,not in a flood zone,very confident,likely
223,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,The charts going upward showed me how over time the chart increased in the number of days. The days that were considered heavy rain. ,increase in rainfall,very confident,likely,no,"I don't think that it would cause the area to flood. It would be more rain, not more flooding. ",it is only rain,very confident,virtually certain
239,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,To stop the driveway from washing away ,erosion control,moderately confident,virtually certain,yes,Because who knows the future ,weather is unpredictable,moderately confident,virtually certain
253,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),im not sure,I don't know,extremely confident,very likely,yes,im not sure,I don't know,very confident,very likely
270,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),costs less in the long run,saves money,moderately confident,likely,no,too expensive and an event may not happen,too expensive,not very confident,about as likely as not
277,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,I really enjoy it ,?,very confident,very likely,no,Nothing ,no comment,not very confident,unlikely
279,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),More money up front but better in the long run,long lasting,very confident,virtually certain,yes,To be protected in the long run,to be prepared and protect,moderately confident,virtually certain
282,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Needs improvement ,?,not at all confident,likely,yes,It’s needed ,to be prepared and protect,moderately confident,unlikely
284,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),"Over a period of 30 years, it's a lot cheaper to pay extra now than a whole lot more later on through the years.",saves money,extremely confident,virtually certain,yes,"With the cost of reair and replacement constantly going up, some kind of insurance is needed.",avoid damage and its costs,extremely confident,virtually certain
288,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),It looks good ,feels right,moderately confident,likely,yes,Looks like they calling for a lot of rain flooding happens,risk of flood(s),very confident,very likely
290,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Because it is cost 1000 per heavy rain fall ,avoid damage and its costs,extremely confident,likely,yes,So i can get covered by the insurance if flood should occur ,avoid damage and its costs,not very confident,unlikely
291,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),I was in the paving business. I know a little ,based on prior experience,extremely confident,virtually certain,yes,Never know in this chaotic world ,weather is unpredictable,very confident,virtually certain
302,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),it is the most cost efficient and will eliminate erosion,cost effective,extremely confident,virtually certain,yes,it is better to be proactive than reactive,to be prepared and protect,extremely confident,virtually certain
309,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Seems lile the smartest solution ,logical choice,extremely confident,virtually certain,yes,More rain= more flooding ,increase in risk of flood(s),very confident,very likely
310,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),just what I would do anyway,feels right,moderately confident,about as likely as not,yes,lowers cost of damages,avoid damage and its costs,very confident,about as likely as not
311,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Looks like two days have one percent of rainfall over a long period so the most cost-effective would be the paving,cost effective,moderately confident,very unlikely,yes,Unpredictability,weather is unpredictable,moderately confident,virtually certain
317,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),best option that will last the longest,long lasting,moderately confident,unlikely,yes,the insurance cost is much less than the possible damage that may occur,cost effective,very confident,about as likely as not
318,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,cheaper option,cost effective,moderately confident,likely,yes,would need to have coverage,to be prepared and protect,moderately confident,about as likely as not
326,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Don't know,I don't know,moderately confident,very likely,yes,It will flood,risk of flood(s),very confident,very likely
327,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,Studying the graph,based on the graph,very confident,very likely,yes,Used the graph & I like to gamble,based on the graph,moderately confident,virtually certain
336,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,I don't know,I don't know,moderately confident,likely,no,None,no comment,moderately confident,about as likely as not
345,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,the one that looks the best ,logical choice,moderately confident,about as likely as not,no,i think it was the right decision to make,logical choice,moderately confident,likely
361,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,heavy rain,amount of rain,very confident,unlikely,no,timimg,?,very confident,unlikely
373,Area_Freq,do nothing (protect against 0 heavy rainfall events per year),It’s just rain ,it is only rain,moderately confident,likely,no,It’s just rain ,it is only rain,not very confident,about as likely as not
376,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),"Projections suggest high emission range will be about 2 events per year, but with a range that exceeds 4 events quite often. This suggests that it’s best to pave as the number of events will exceed the other options levels of protection ",freeboard added,extremely confident,virtually certain,yes,Both scenariossuggest on average that a 1 percent event will yiel 1.9 inches or slightly more,based on average,extremely confident,very likely
384,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,I think it increasingly ,increase in rainfall,very confident,virtually certain,yes,I think it rained more ,increase in rainfall,extremely confident,virtually certain
386,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Climate change is real and is not going to get better. We need to prepare.,climate change increases risk,very confident,very likely,no,don't live in flood area,not in a flood zone,not at all confident,virtually certain
398,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Beacuse of the amount of rainfall,amount of rain,very confident,very likely,yes,Cos of the amount of heavty rain,amount of rain,very confident,very likely
402,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,repeated damage because of heavy rainfall,avoid damage and its costs,moderately confident,likely,yes,overall increasse in rain fall,increase in rainfall,moderately confident,likely
407,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Because ,feels right,moderately confident,likely,no,I don’t believe it,I don't believe it,moderately confident,unlikely
410,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,It seems like a better option ,logical choice,moderately confident,likely,yes,There is a good chance for flooding,risk of flood(s),moderately confident,likely
412,Area_Freq,do nothing (protect against 0 heavy rainfall events per year),1000 is not too expensive ,acceptable damage costs,extremely confident,exceptionally unlikely,no,Global warming is a hoax ,global warming is a hoax,not at all confident,exceptionally unlikely
436,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),That’s the best option ,logical choice,moderately confident,virtually certain,yes,The high emission range ,based on emissions scenario(s)/ projections,moderately confident,likely
439,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,best protection value,best economic choice,moderately confident,very unlikely,yes,flooding is likely,risk of flood(s),very confident,likely
448,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Costs the least in the long run,saves money,moderately confident,likely,no,Not sure,I don't know,not very confident,likely
457,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),I think it's best option ,logical choice,moderately confident,likely,yes,Increase rain fall ,increase in rainfall,moderately confident,very likely
463,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,I don't know ,I don't know,not very confident,likely,yes,Looks like it's needed ,to be prepared and protect,very confident,virtually certain
471,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),You're going to have at least a few heavy rainfalls each year. I'd fix it once and for all.,fix and forget,extremely confident,virtually certain,yes,The low emissions average for rainfall events is higher than 1.9,based on average,moderately confident,virtually certain
483,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,makes the most sense to me,logical choice,very confident,unlikely,yes,can never be sure nothing will happen,weather is unpredictable,extremely confident,very likely
487,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,good for short time ,watch and decide later,moderately confident,about as likely as not,yes,good to have,to be prepared and protect,moderately confident,likely
494,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Heavy rainfall events are projected to increase over the next 30 years ,increase in rainfall,very confident,very likely,yes,Heavy rainfall events are projected to increase in the future ,increase in rainfall,very confident,very likely
501,Area_Freq,do nothing (protect against 0 heavy rainfall events per year),The graph shows zero chance of heavy rain ,low amount of rain,extremely confident,exceptionally unlikely,no,Not likely to flood,low risk of flooding,very confident,unlikely
503,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Simplest solution for me.,feels right,extremely confident,about as likely as not,yes,Made sense to me.,logical choice,moderately confident,about as likely as not
508,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),No comment,no comment,very confident,likely,yes,No reason why,I don't know,moderately confident,likely
520,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,the chart shows rainfall will increase in the near future,increase in rainfall,very confident,very likely,yes,higher rainfall,increase in rainfall,very confident,unlikely
524,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,it rains a great deal,high amount of rain,moderately confident,virtually certain,no,can not afford it,too expensive,not very confident,very likely
526,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),To prevent erosion and flooding ,erosion control,very confident,likely,yes,For safety,safe than sorry,very confident,likely
531,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,the correct way,feels right,moderately confident,very likely,yes,to protection,to be prepared and protect,moderately confident,likely
548,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,It is easier to understand,feels right,very confident,very likely,yes,I would need it. ,to be prepared and protect,extremely confident,very likely
550,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Very different and on point ,?,very confident,very likely,yes,Very on point to me ,feels right,very confident,very likely
558,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),"I would rather invest in a big driveway pavement project for a high initial cost as that would not only eliminate future costs, but it would up my property value",increase property value,extremely confident,about as likely as not,yes,The cost wouldn't be that much more than a current mortgage payment,cost effective,moderately confident,likely
577,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,cost effect for most scenarios,cost effective,moderately confident,about as likely as not,yes,cost less than full repair in 10 years,cost effective,moderately confident,very likely
579,Area_Freq,do nothing (protect against 0 heavy rainfall events per year),None,no comment,not at all confident,likely,yes,None,no comment,moderately confident,virtually certain
585,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,Fits my needs and budget ,cost effective,moderately confident,about as likely as not,yes,To be covered for damages ,avoid damage and its costs,extremely confident,likely
590,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,There is a low. In the graph 206 so proximately where it levels off and this does make more sense financially,cost benefit analysis,very confident,very likely,yes,Graph shows increased rain ,increase in rainfall,extremely confident,likely
591,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Expensive but feasible ,cost effective,extremely confident,virtually certain,yes,Makes sense ,logical choice,extremely confident,very likely
593,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,The difference between the years shown,change in rainfall,extremely confident,virtually certain,yes,Be better protected just because of the weather,to be prepared and protect,extremely confident,virtually certain
601,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),It lasts longer and can more heavy rainfall events,best level of protection,very confident,very likely,yes,It seems likely that you could flood in the next thirty years,risk of flood(s),extremely confident,likely
607,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Cheaper in the long run,saves money,extremely confident,likely,yes,¹cheaper in the long rub,saves money,extremely confident,virtually certain
609,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),The likelihood of 2 or more heavy rainfalls expected to increase so other measures are likely to cost more with replacements.,cost benefit analysis,moderately confident,very likely,yes,Rainfall expected to increase and cost of policy less than historical cost to repair.,cost benefit analysis,moderately confident,likely
618,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,The amount of heavy rain,amount of rain,very confident,virtually certain,yes,It would be the safest thing to do.,safe than sorry,extremely confident,virtually certain
619,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),I’m really not sure ,I don't know,not very confident,very likely,yes,"I’m not sure , I’m trying ",I don't know,not very confident,about as likely as not
620,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Going to be a lot more in the future ,increase in rainfall,extremely confident,virtually certain,yes,If it happened before it could happen again ,history of flood,extremely confident,likely
624,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Makes more sense to do the 30 year plan,long lasting,very confident,very likely,yes,"It's a better option, than paying out of pocket ",cost effective,extremely confident,very likely
632,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),"Paving a. Driveway increases property value , so it has additional benefits beyond the erosion prevention",increase property value,very confident,likely,yes,"The price of the flood insurance is moderate, and with a historical event on record having previously done damage, it seems worthwhile.",cost benefit analysis,very confident,very likely
637,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,Because the soil over a long time needs standard measures to protect us from dangers,erosion control,extremely confident,very likely,yes,Special needs necessary over time,to be prepared and protect,very confident,very likely
638,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,it seems right,feels right,not very confident,unlikely,no,we don't get that much rain,low amount of rain,very confident,unlikely
639,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),The likelihood of numerous washouts is high,risk of flood(s),very confident,very likely,no,Uneducated guess,feels right,moderately confident,about as likely as not
640,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,The hindcast,based on the hindcast,extremely confident,likely,no,Because we dont get floods,confusion about personal home,moderately confident,about as likely as not
643,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,My opinion ,feels right,very confident,about as likely as not,yes,My opinion ,feels right,very confident,unlikely
644,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),I don't know ,I don't know,not very confident,about as likely as not,no,I don't know ,I don't know,moderately confident,about as likely as not
646,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,A graph patterns ,based on the graph,extremely confident,about as likely as not,yes,Flood insurance is highly needed,to be prepared and protect,very confident,virtually certain
650,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,More visual ,more information wanted,very confident,very likely,yes,Informative as well as needed,to be prepared and protect,very confident,likely
681,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Makes more sense financially ,cost effective,extremely confident,virtually certain,yes,Always need insurance just in case,to be prepared and protect,very confident,virtually certain
690,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Because it was the best option offering the most protection ,best level of protection,extremely confident,very likely,yes,Because heavy rain is likely to occur  leading to repair costs,avoid damage and its costs,very confident,very likely
692,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,it has a good value,good investment,extremely confident,very likely,yes,It has a good value,cost effective,extremely confident,virtually certain
698,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Because you’re still saving money if it washes out but not losing money,saves money,very confident,about as likely as not,yes,The probability is high their will be rainfall,risk of flood(s),very confident,very likely
701,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),No upkeep,low maintenance,very confident,virtually certain,yes,Low cost ,cost effective,moderately confident,very likely
702,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,The increase in emissions ,increase in rainfall,not very confident,about as likely as not,yes,Heavy rainfall eventually destroys property,avoid damage and its costs,moderately confident,about as likely as not
711,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,idk,I don't know,moderately confident,about as likely as not,yes,idk,I don't know,moderately confident,very likely
716,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,I think its the least that can be done with little environmental effects.,environmental impact,moderately confident,likely,yes,It would make sense if the rain fall is going up dramatically.,increase in rainfall,extremely confident,virtually certain
718,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),You pay once and it guaranteed for 30 years.,fix and forget,very confident,very likely,yes,I would rather pay and have the insurance to cover flooding just in case.,to be prepared and protect,moderately confident,very likely
722,Area_Freq,do nothing (protect against 0 heavy rainfall events per year),Not sure,I don't know,moderately confident,about as likely as not,yes,It is a risk of flooding ,risk of flood(s),moderately confident,about as likely as not
726,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,be prepared for heavy rain and not to flood,to be prepared and protect,very confident,very likely,no,flooding,risk of flood(s),not very confident,very likely
727,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Because the other one was the same as mine but the one I ,based on prior experience,moderately confident,likely,yes,Because the other one was the same as mine but the ,?,moderately confident,unlikely
733,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),"I prefer having a paved driveway for reasons other than gravel washout, but I think the $7000 cost would be worth protecting the driveway",advantages it offers,very confident,about as likely as not,yes,"I feel like any record of flooding in previous years means it's likely to occur again, and therefore buying flood insurance is advisable",history of flood,moderately confident,likely
736,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,It seems like the most logical reason why.,logical choice,moderately confident,likely,yes,I'd rather be ahead than behind,to be prepared and protect,moderately confident,likely
748,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,From what I see in the graph I should not see more than four heavy rainfall events each year so this measure should be enough to take care of the rain issues.,based on 4 events,very confident,very likely,yes,The graph shows that in the future the chances for another flood that would damage this home increase so it would be prudent to purchase flood insurance because the cost is low enough that even if it only happened once in 30 years you still making out a lot better with insurance than you would be without.,cost benefit analysis,extremely confident,virtually certain
753,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),It seems to be more cost friendly and it will last much longer ,cost effective,very confident,very likely,yes,Based on the graph heavy rain is going to increase ,increase in rainfall,extremely confident,virtually certain
760,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),"If rainfall continues to rise, just fix the issue",fix and forget,very confident,very likely,yes,It’s a logical choice for a flood zone,logical choice,extremely confident,likely
764,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),"I counted days above 2 heavy rainfalls in the last 30 years which was about 13 at a cost of $1000 per washout I ruled out the first 2 options as if the rain trend continued my repair cost would double the last 2 options. I chose the last option even though 0 years over 4 heavy rains have occurred in over 30 years, the cost or maintenance and initial install is the same as paving. ",cost benefit analysis,extremely confident,exceptionally unlikely,yes,"The last homeowner had damage after a 1.9 rainfall day which happens about 48 times over 30 years. 1 incident cost him $25,000 ten years ago I wouldn't take the risk when the cost of flood insurance is $172,800 over 30 years",cost benefit analysis,extremely confident,very likely
770,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,It seems to be the most fitting,feels right,moderately confident,very likely,yes,It seems like a good odea,logical choice,very confident,about as likely as not
782,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,I tried my best this is tough ,feels right,very confident,very likely,yes,It's always good to be insured never know what can take place ,to be prepared and protect,extremely confident,very likely
815,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),It would be the easiest option. ,logical choice,extremely confident,very likely,no,It rarely floods here. ,confusion about personal home,not at all confident,about as likely as not
