"","name","CHAL1_ans","CHAL1_txt","CHAL1_con","CHAL2_ans","CHAL2_txt","CHAL2_con"
"46","Bar_int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","Is there high probability of damage I would want take care of it right away and not worry about damage work and costs","very confident","yes","The probability of heavy rain is high","very confident"
"54","Bar_int","install basic erosion control measures that protect against 2 heavy rainfall events per year","That seems like the right choice given the forecast.","moderately confident","no","The rainfall amount doesn't seem severe enough to warrant buying flood insurance.","moderately confident"
"59","Bar_int","install improved erosion control measures that protect against 4 heavy rainfall events per year","The only ","extremely confident","yes","1","extremely confident"
"60","Bar_int","install improved erosion control measures that protect against 4 heavy rainfall events per year","Lower cost and not as much rain as the last option","moderately confident","yes","Possible more rain","moderately confident"
"2","Box_freq","do nothing (protect against 0 heavy rainfall events per year)","I like everything about this.","moderately confident","no","I like everything about this.","extremely confident"
"5","Box_freq","pave the driveway (protect against 120 heavy rainfall events over 30 years)","None ","not at all confident","no","None ","not at all confident"
"6","Box_freq","pave the driveway (protect against 120 heavy rainfall events over 30 years)","It is the most secure an economical overtime","very confident","yes","How heavy rainfall will increase","very confident"
"7","Box_freq","install improved erosion control measures that protect against 4 heavy rainfall events per year","Great","extremely confident","no","Great","very confident"
"12","Box_freq","install basic erosion control measures that protect against 2 heavy rainfall events per year","It was just right ","extremely confident","no","No","moderately confident"
"25","Box_freq","install improved erosion control measures that protect against 4 heavy rainfall events per year","Looks of it ","moderately confident","yes","Flood insurance is important ","very confident"
"29","Box_freq","pave the driveway (protect against 120 heavy rainfall events over 30 years)","In the end, given rainfall predictions, it is most cost effective","very confident","yes","Again, it's more of cost effective over time","moderately confident"
"40","Box_freq","install improved erosion control measures that protect against 4 heavy rainfall events per year","Because it doesn’t need to be redone for 4 years","moderately confident","yes","Because the amount of rainfall is bound to increase over time and I feel like it would be a good idea to plan for it.","extremely confident"
"47","Box_freq","install improved erosion control measures that protect against 4 heavy rainfall events per year","not sure","extremely confident","yes","the 1.6 days per year ","very confident"
"53","Box_freq","pave the driveway (protect against 120 heavy rainfall events over 30 years)","i really dont understand the graphic","moderately confident","yes","the increase of rain","not very confident"
"56","Box_freq","do nothing (protect against 0 heavy rainfall events per year)","None","not very confident","no","None","not very confident"
"63","Box_freq","install improved erosion control measures that protect against 4 heavy rainfall events per year","Unless I want to spend the $7000, it would be the most cost efficient way to go assuming I had less than 4 washout events a year. ","moderately confident","yes","It is almost guaranteed that I will have another flood.","moderately confident"
"3","Box_int","install improved erosion control measures that protect against 4 heavy rainfall events per year","anything","very confident","no","anything","extremely confident"
"8","Box_int","install basic erosion control measures that protect against 2 heavy rainfall events per year","Cost effective vs. lump sum","moderately confident","no","I do not live in a flooding prone area.","moderately confident"
"14","Box_int","install improved erosion control measures that protect against 4 heavy rainfall events per year","don't know","moderately confident","yes","safety","moderately confident"
"19","Box_int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","It would be a more practical choice","moderately confident","yes","It floods a lot in this area","moderately confident"
"20","Box_int","install improved erosion control measures that protect against 4 heavy rainfall events per year","The right side","extremely confident","no","It makes the most sense to me","moderately confident"
"21","Box_int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","Because I would prefer a paved driveway anyway, regardless of the maintenance cost.","extremely confident","yes","The likelihood of an heavy rain event is likely to increase, and there's already been one in the last 10 years.","moderately confident"
"31","Box_int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","the cost to pave","not very confident","no","it does not raine enough","moderately confident"
"39","Box_int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","fix & forget","extremely confident","yes","rains 1.9 "" per year","extremely confident"
"52","Box_int","do nothing (protect against 0 heavy rainfall events per year)","because i couldn't care less.","not at all confident","no","saying it only covers 350,000 dollars","not at all confident"
"65","Box_int","install improved erosion control measures that protect against 4 heavy rainfall events per year","More Value","extremely confident","yes","Because it increases the value overtime","extremely confident"
